c-4-66;s-2-98
c-4-72;s-3-98
c-4-78;s-4-98
c-4-84;s-5-98
c-4-90;s-6-98
c-4-96;s-7-98
c-4-151;s-10-98
c-4-157;s-11-98
c-4-163;s-12-98
c-4-170;s-13-98
c-4-176;s-14-98
c-4-182;s-15-98
c-5-66;s-2-102
c-5-72;s-3-102
c-5-78;s-4-102
c-5-84;s-5-102
c-5-90;s-6-102
c-5-96;s-7-102
c-5-151;s-10-102
c-5-157;s-11-102
c-5-163;s-12-102
c-5-170;s-13-102
c-5-176;s-14-102
c-5-182;s-15-102
c-6-66;s-2-105
c-6-72;s-3-105
c-6-78;s-4-105
c-6-84;s-5-105
c-6-90;s-6-105
c-6-96;s-7-105
c-6-151;s-10-105
c-6-157;s-11-105
c-6-163;s-12-105
c-6-170;s-13-105
c-6-176;s-14-105
c-6-182;s-15-105
c-7-66;s-2-109
c-7-72;s-3-109
c-7-78;s-4-109
c-7-84;s-5-109
c-7-90;s-6-109
c-7-96;s-7-109
c-7-151;s-10-109
c-7-157;s-11-109
c-7-163;s-12-109
c-7-170;s-13-109
c-7-176;s-14-109
c-7-182;s-15-109
c-8-66;s-2-112
c-8-72;s-3-112
c-8-78;s-4-112
c-8-84;s-5-112
c-8-90;s-6-112
c-8-96;s-7-112
c-8-151;s-10-112
c-8-157;s-11-112
c-8-163;s-12-112
c-8-170;s-13-112
c-8-176;s-14-112
c-8-182;s-15-112
c-9-66;s-2-115
c-9-72;s-3-115
c-9-78;s-4-115
c-9-84;s-5-115
c-9-90;s-6-115
c-9-96;s-7-115
c-9-151;s-10-115
c-9-157;s-11-115
c-9-163;s-12-115
c-9-170;s-13-115
c-9-176;s-14-115
c-9-182;s-15-115
c-10-66;s-2-119
c-10-72;s-3-119
c-10-78;s-4-119
c-10-84;s-5-119
c-10-90;s-6-119
c-10-96;s-7-119
c-10-151;s-10-119
c-10-157;s-11-119
c-10-163;s-12-119
c-10-170;s-13-119
c-10-176;s-14-119
c-10-182;s-15-119
c-11-66;s-2-122
c-11-72;s-3-122
c-11-78;s-4-122
c-11-84;s-5-122
c-11-90;s-6-122
c-11-96;s-7-122
c-11-151;s-10-122
c-11-157;s-11-122
c-11-163;s-12-122
c-11-170;s-13-122
c-11-176;s-14-122
c-11-182;s-15-122
c-12-66;s-2-125
c-12-72;s-3-125
c-12-78;s-4-125
c-12-84;s-5-125
c-12-90;s-6-125
c-12-96;s-7-125
c-12-151;s-10-125
c-12-157;s-11-125
c-12-163;s-12-125
c-12-170;s-13-125
c-12-176;s-14-125
c-12-182;s-15-125
c-13-66;s-2-129
c-13-72;s-3-129
c-13-78;s-4-129
c-13-84;s-5-129
c-13-90;s-6-129
c-13-96;s-7-129
c-13-151;s-10-129
c-13-157;s-11-129
c-13-163;s-12-129
c-13-170;s-13-129
c-13-176;s-14-129
c-13-182;s-15-129
c-14-66;s-2-132
c-14-72;s-3-132
c-14-78;s-4-132
c-14-84;s-5-132
c-14-90;s-6-132
c-14-96;s-7-132
c-14-151;s-10-132
c-14-157;s-11-132
c-14-163;s-12-132
c-14-170;s-13-132
c-14-176;s-14-132
c-14-182;s-15-132
c-15-66;s-2-135
c-15-72;s-3-135
c-15-78;s-4-135
c-15-84;s-5-135
c-15-90;s-6-135
c-15-96;s-7-135
c-15-151;s-10-135
c-15-157;s-11-135
c-15-163;s-12-135
c-15-170;s-13-135
c-15-176;s-14-135
c-15-182;s-15-135
c-16-66;s-2-139
c-16-72;s-3-139
c-16-78;s-4-139
c-16-84;s-5-139
c-16-90;s-6-139
c-16-96;s-7-139
c-16-151;s-10-139
c-16-157;s-11-139
c-16-163;s-12-139
c-16-170;s-13-139
c-16-176;s-14-139
c-16-182;s-15-139
c-17-66;s-2-142
c-17-72;s-3-142
c-17-78;s-4-142
c-17-84;s-5-142
c-17-90;s-6-142
c-17-96;s-7-142
c-17-151;s-10-142
c-17-157;s-11-142
c-17-163;s-12-142
c-17-170;s-13-142
c-17-176;s-14-142
c-17-182;s-15-142
c-18-66;s-2-146
c-18-72;s-3-146
c-18-78;s-4-146
c-18-84;s-5-146
c-18-90;s-6-146
c-18-96;s-7-146
c-18-151;s-10-146
c-18-157;s-11-146
c-18-163;s-12-146
c-18-170;s-13-146
c-18-176;s-14-146
c-18-182;s-15-146
c-19-66;s-2-149
c-19-72;s-3-149
c-19-78;s-4-149
c-19-84;s-5-149
c-19-90;s-6-149
c-19-96;s-7-149
c-19-151;s-10-149
c-19-157;s-11-149
c-19-163;s-12-149
c-19-170;s-13-149
c-19-176;s-14-149
c-19-182;s-15-149
c-20-66;s-2-152
c-20-72;s-3-152
c-20-78;s-4-152
c-20-84;s-5-152
c-20-90;s-6-152
c-20-96;s-7-152
c-20-151;s-10-152
c-20-157;s-11-152
c-20-163;s-12-152
c-20-170;s-13-152
c-20-176;s-14-152
c-20-182;s-15-152
c-21-66;s-2-156
c-21-72;s-3-156
c-21-78;s-4-156
c-21-84;s-5-156
c-21-90;s-6-156
c-21-96;s-7-156
c-21-151;s-10-156
c-21-157;s-11-156
c-21-163;s-12-156
c-21-170;s-13-156
c-21-176;s-14-156
c-21-182;s-15-156
