c-4-70;s-1-101
c-4-76;s-2-101
c-4-82;s-3-101
c-4-88;s-4-101
c-4-94;s-5-101
c-4-101;s-6-101
c-4-107;s-7-101
c-4-113;s-8-101
c-4-161;s-12-101
c-4-168;s-13-101
c-4-174;s-14-101
c-4-180;s-15-101
c-4-186;s-16-101
c-4-192;s-17-101
c-5-70;s-1-107
c-5-76;s-2-107
c-5-82;s-3-107
c-5-88;s-4-107
c-5-94;s-5-107
c-5-101;s-6-107
c-5-107;s-7-107
c-5-113;s-8-107
c-5-161;s-12-107
c-5-168;s-13-107
c-5-174;s-14-107
c-5-180;s-15-107
c-5-186;s-16-107
c-5-192;s-17-107
c-6-70;s-1-114
c-6-76;s-2-114
c-6-82;s-3-114
c-6-88;s-4-114
c-6-94;s-5-114
c-6-101;s-6-114
c-6-107;s-7-114
c-6-113;s-8-114
c-6-161;s-12-114
c-6-168;s-13-114
c-6-174;s-14-114
c-6-180;s-15-114
c-6-186;s-16-114
c-6-192;s-17-114
c-7-70;s-1-121
c-7-76;s-2-121
c-7-82;s-3-121
c-7-88;s-4-121
c-7-94;s-5-121
c-7-101;s-6-121
c-7-107;s-7-121
c-7-113;s-8-121
c-7-161;s-12-121
c-7-168;s-13-121
c-7-174;s-14-121
c-7-180;s-15-121
c-7-186;s-16-121
c-7-192;s-17-121
c-8-70;s-1-128
c-8-76;s-2-128
c-8-82;s-3-128
c-8-88;s-4-128
c-8-94;s-5-128
c-8-101;s-6-128
c-8-107;s-7-128
c-8-113;s-8-128
c-8-161;s-12-128
c-8-168;s-13-128
c-8-174;s-14-128
c-8-180;s-15-128
c-8-186;s-16-128
c-8-192;s-17-128
c-9-70;s-1-134
c-9-76;s-2-134
c-9-82;s-3-134
c-9-88;s-4-134
c-9-94;s-5-134
c-9-101;s-6-134
c-9-107;s-7-134
c-9-113;s-8-134
c-9-161;s-12-134
c-9-168;s-13-134
c-9-174;s-14-134
c-9-180;s-15-134
c-9-186;s-16-134
c-9-192;s-17-134
c-10-70;s-1-141
c-10-76;s-2-141
c-10-82;s-3-141
c-10-88;s-4-141
c-10-94;s-5-141
c-10-101;s-6-141
c-10-107;s-7-141
c-10-113;s-8-141
c-10-161;s-12-141
c-10-168;s-13-141
c-10-174;s-14-141
c-10-180;s-15-141
c-10-186;s-16-141
c-10-192;s-17-141
c-11-70;s-1-148
c-11-76;s-2-148
c-11-82;s-3-148
c-11-88;s-4-148
c-11-94;s-5-148
c-11-101;s-6-148
c-11-107;s-7-148
c-11-113;s-8-148
c-11-161;s-12-148
c-11-168;s-13-148
c-11-174;s-14-148
c-11-180;s-15-148
c-11-186;s-16-148
c-11-192;s-17-148
c-12-70;s-1-154
c-12-76;s-2-154
c-12-82;s-3-154
c-12-88;s-4-154
c-12-94;s-5-154
c-12-101;s-6-154
c-12-107;s-7-154
c-12-113;s-8-154
c-12-161;s-12-154
c-12-168;s-13-154
c-12-174;s-14-154
c-12-180;s-15-154
c-12-186;s-16-154
c-12-192;s-17-154
